Date,Open,High,Low,Close,Adj Close,Volume
16/05/2016,5.75,5.77,5.74,5.75,5.75,88390
17/05/2016,5.77,5.8,5.77,5.8,5.8,118750
18/05/2016,5.8,5.8,5.78,5.78,5.78,55523
19/05/2016,5.78,5.78,5.77,5.77,5.77,17590
20/05/2016,5.79,5.8,5.78,5.79,5.79,234623
23/05/2016,5.77,5.79,5.75,5.75,5.75,51827
24/05/2016,5.75,5.76,5.74,5.76,5.76,43774
25/05/2016,5.76,5.76,5.7,5.7,5.7,151737
26/05/2016,5.7,5.7,5.66,5.7,5.7,218831
27/05/2016,5.65,5.72,5.59,5.72,5.72,158579
30/05/2016,5.7,5.7,5.67,5.69,5.69,135717
31/05/2016,5.69,5.85,5.69,5.85,5.85,261501
01/06/2016,5.79,5.79,5.75,5.75,5.75,25517
02/06/2016,5.72,5.72,5.72,5.72,5.72,36955
03/06/2016,5.7,5.7,5.69,5.7,5.7,38169
07/06/2016,5.64,5.65,5.5,5.57,5.57,1618584
08/06/2016,5.57,5.59,5.56,5.58,5.58,88326
09/06/2016,5.59,5.6,5.55,5.57,5.57,299868
10/06/2016,5.56,5.56,5.53,5.53,5.53,229106
13/06/2016,5.52,5.52,5.45,5.47,5.47,621178
14/06/2016,5.46,5.49,5.45,5.46,5.46,154170
15/06/2016,5.47,5.5,5.46,5.5,5.5,164960
16/06/2016,5.5,5.51,5.5,5.5,5.5,477140
17/06/2016,5.5,5.51,5.47,5.47,5.47,224363
20/06/2016,5.47,5.5,5.45,5.45,5.45,166755
21/06/2016,5.47,5.49,5.46,5.47,5.47,177046
22/06/2016,5.47,5.48,5.44,5.44,5.44,217776
23/06/2016,5.46,5.46,5.4,5.4,5.4,498756
24/06/2016,5.4,5.41,5.37,5.37,5.37,313964
27/06/2016,5.35,5.35,5.3,5.32,5.32,302090
28/06/2016,5.31,5.32,5.31,5.32,5.32,251199
29/06/2016,5.34,5.43,5.33,5.41,5.41,318659
30/06/2016,5.42,5.47,5.42,5.46,5.46,144747
01/07/2016,5.46,5.5,5.46,5.46,5.46,217780
04/07/2016,5.46,5.47,5.45,5.45,5.45,77302
05/07/2016,5.46,5.48,5.46,5.47,5.47,159476
06/07/2016,5.47,5.5,5.46,5.47,5.47,154364
07/07/2016,5.46,5.47,5.45,5.45,5.45,120251
